Authors,Title,Year,Source title,Cited by,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords
"Ding L.-P., Mao T.-H., Fu H., Cao G.-Y.","Temperature dependence of the photothermal laser cooling efficiency for a micro-cantilever",2014,"Chinese Physics B",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907612226&doi=10.1088%2f1674-1056%2f23%2f10%2f107801&partnerID=40&md5=5e131f3a5e8535efa28ce63f0af89902","State Key Laboratory of Magnetic Resonance and Atomic and Molecular Physics, Wuhan Institution of Physics and Mathematics, Chinese Academy of Sciences, Wuhan, China; University of Chinese Academy of Sciences, Beijing, China","Ding, L.-P., State Key Laboratory of Magnetic Resonance and Atomic and Molecular Physics, Wuhan Institution of Physics and Mathematics, Chinese Academy of Sciences, Wuhan, China, University of Chinese Academy of Sciences, Beijing, China; Mao, T.-H., State Key Laboratory of Magnetic Resonance and Atomic and Molecular Physics, Wuhan Institution of Physics and Mathematics, Chinese Academy of Sciences, Wuhan, China, University of Chinese Academy of Sciences, Beijing, China; Fu, H., State Key Laboratory of Magnetic Resonance and Atomic and Molecular Physics, Wuhan Institution of Physics and Mathematics, Chinese Academy of Sciences, Wuhan, China; Cao, G.-Y., State Key Laboratory of Magnetic Resonance and Atomic and Molecular Physics, Wuhan Institution of Physics and Mathematics, Chinese Academy of Sciences, Wuhan, China","The relationship between the photothermal cooling efficiency of a micro-cantilever's mechanical mode and the environmental temperature is studied. The micro-cantilever and a polished fiber end form a low finesse Fabry - Perot (FP) cavity. Experimental results in a temperature range from 77 K to 298 K show that temperature has an obvious influence on photothermal cooling efficiency. The photothermal cooling efficiency, ηph, at 100 K is 10 times that at 298 K. This accords well with the theoretical analysis that the high photothermal cooling efficiency can be achieved when photothermal response time, τph, and mechanical resonant frequency, ω0, are close to the optimal photothermal cooling condition ω0τph = 1. Our study provides an important approach for high effective photothermal cooling and high-sensitivity measurement for force microscopy. © 2014 Chinese Physical Society and IOP Publishing Ltd.","FP cavity; Micro-cantilever; Optomechanics; Photothermal cooling; Temperature dependence","F-P cavities; Micro-cantilevers; Opto-mechanics; Photo-thermal; Temperature dependence"
"Reilly M.A.","A quantitative geometric mechanics lens model: Insights into the mechanisms of accommodation and presbyopia",2014,"Vision Research",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908079263&doi=10.1016%2fj.visres.2014.08.001&partnerID=40&md5=4fa1d762c6674f2509f00c3acc3ce898","Biomedical Engineering, University of Texas at San Antonio, One UTSA Circle, San Antonio, TX, United States","Reilly, M.A., Biomedical Engineering, University of Texas at San Antonio, One UTSA Circle, San Antonio, TX, United States","This study expands on a geometric model of ocular accommodation (Reilly and Ravi, Vision Res. 50:330-336; 2010) by relaxing assumptions regarding lens symmetry about the equator. A method for predicting stretching force was derived. Two models were then developed: Model 1 held the equatorial geometry constant at all stages of accommodation, while Model 2 allowed localized deformation at the equator. Both models were compared to recent data for axial thickness, anterior and posterior radii of curvature, surface area, cross-sectional area, volume, and stretching force for the 29-year-old lens. Age-related changes in accommodation were also simulated. Model 1 gave predictions which agreed with the Helmholtz theory of accommodation, while Model 2's predictions agreed with the Schachar mechanism of accommodation. Trends predicted by Model 1 agreed with all available experimental data, while Model 2 disagreed with recent surface area measurements. Further analysis indicated that Model 1 was fundamentally more efficient in that it required less force per diopter change in optical power than Model 2. Model 1 more accurately predicted age-related changes in accommodation amplitude. This implies that the zero-force (fully accommodated) state geometry changes with age due to a shifting balance in residual stresses between the lens and capsule. © 2014 Elsevier Ltd.","Accommodation; Lens; Lens curvature; Lens stretching; Optomechanics; Presbyopia","accommodation; aging; amplitude modulation; Article; biomechanics; controlled study; cornea curvature; eye axis thickness; force; force gauge; Helmholtz theory of accomodation; lens; lens gauge; lens power; mathematical computing; mathematical model; predictive value; predictor variable; presbyopia; Schachar theory of accomodation; stretching force; theoretical model; visual system parameters; accommodation; adult; anatomy and histology; elasticity; human; lens; pathophysiology; physiology; presbyopia; theoretical model; Accommodation, Ocular; Adult; Aging; Elasticity; Humans; Lens, Crystalline; Models, Theoretical; Presbyopia"
"Cole G.D., Yu P.-L., Siquans K., Moghadas Nia R., Schmöle J., Hoelscher-Obermaier J., Purdy T.P., Wieczorek W., Regal C.A., Aspelmeyer M.","Tensile-strained InxGa1-xP membranes for cavity optomechanics",2014,"Applied Physics Letters",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901463573&doi=10.1063%2f1.4879755&partnerID=40&md5=a8533193845e4e6dfd0360d903aa13fb","Vienna Center for Quantum Science and Technology (VCQ), Faculty of Physics, University of Vienna, A-1090 Vienna, Austria; JILA, National Institute of Standards and Technology, University of Colorado, Boulder, CO 80309, United States; Department of Physics, University of Colorado, Boulder, CO 80309, United States","Cole, G.D., Vienna Center for Quantum Science and Technology (VCQ), Faculty of Physics, University of Vienna, A-1090 Vienna, Austria; Yu, P.-L., Vienna Center for Quantum Science and Technology (VCQ), Faculty of Physics, University of Vienna, A-1090 Vienna, Austria, JILA, National Institute of Standards and Technology, University of Colorado, Boulder, CO 80309, United States, Department of Physics, University of Colorado, Boulder, CO 80309, United States; Siquans, K., Vienna Center for Quantum Science and Technology (VCQ), Faculty of Physics, University of Vienna, A-1090 Vienna, Austria; Moghadas Nia, R., Vienna Center for Quantum Science and Technology (VCQ), Faculty of Physics, University of Vienna, A-1090 Vienna, Austria; Schmöle, J., Vienna Center for Quantum Science and Technology (VCQ), Faculty of Physics, University of Vienna, A-1090 Vienna, Austria; Hoelscher-Obermaier, J., Vienna Center for Quantum Science and Technology (VCQ), Faculty of Physics, University of Vienna, A-1090 Vienna, Austria; Purdy, T.P., JILA, National Institute of Standards and Technology, University of Colorado, Boulder, CO 80309, United States, Department of Physics, University of Colorado, Boulder, CO 80309, United States; Wieczorek, W., Vienna Center for Quantum Science and Technology (VCQ), Faculty of Physics, University of Vienna, A-1090 Vienna, Austria; Regal, C.A., JILA, National Institute of Standards and Technology, University of Colorado, Boulder, CO 80309, United States, Department of Physics, University of Colorado, Boulder, CO 80309, United States; Aspelmeyer, M., Vienna Center for Quantum Science and Technology (VCQ), Faculty of Physics, University of Vienna, A-1090 Vienna, Austria","We investigate the optomechanical properties of tensile-strained ternary InxGa1-xP nanomembranes grown on GaAs. This material system combines the benefits of highly strained membranes, similar to those based on stoichiometric silicon nitride, with the unique properties of thin-film semiconductor single crystals, as previously demonstrated with suspended GaAs. Here, we employ lattice mismatch in epitaxial growth to impart an intrinsic tensile strain to a monocrystalline thin film (approximately 30 nm thick). These structures exhibit mechanical quality factors of 2 × 106 or beyond at room temperature and 17 K for eigenfrequencies up to 1 MHz, yielding Q × f products of 2 × 1012 Hz for a tensile stress of ∼170 MPa. Incorporating such membranes in a high-finesse Fabry-Perot cavity, we extract an upper limit to the total optical loss (including both absorption and scatter) of 40 ppm at 1064 nm and room temperature. Further reductions of the In content of this alloy will enable tensile stress levels of 1 GPa, with the potential for a significant increase in the Q × f product, assuming no deterioration in the mechanical loss at this composition and strain level. This materials system is a promising candidate for the integration of strained semiconductor membrane structures with low-loss semiconductor mirrors and for realizing stacks of membranes for enhanced optomechanical coupling. © 2014 AIP Publishing LLC.",,"Gallium arsenide; Semiconducting gallium; Silicon nitride; Tensile stress; Cavity optomechanics; Eigen frequencies; Fabry-Perot cavity; Material systems; Materials systems; Mechanical quality factors; Monocrystalline thin films; Room temperature; Membranes"
"Capone J.I., Content D.A., Kutyrev A.S., Robinson F.D., Lotkin G.N., Toy V.L., Veilleux S., Moseley S.H., Gehrels N.A., Vogel S.N.","Cryogenic optical systems for the rapid infrared imager/spectrometer (RIMAS)",2014,"Proceedings of SPIE - The International Society for Optical Engineering",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922688445&doi=10.1117%2f12.2055503&partnerID=40&md5=5d7dc5209f3f8c002e92e42aae282d90","Dept. of Astronomy, Univ. of Maryland/College Park, CSS Bldg., Stadium Dr., College Park, MD, United States; NASA's Goddard Space Flight Center, 8800 Greenbelt Rd., Greenbelt, MD, United States; Global Science Technology, Inc., 7855 Walker Drive, Greenbelt, MD, United States","Capone, J.I., Dept. of Astronomy, Univ. of Maryland/College Park, CSS Bldg., Stadium Dr., College Park, MD, United States; Content, D.A., NASA's Goddard Space Flight Center, 8800 Greenbelt Rd., Greenbelt, MD, United States; Kutyrev, A.S., Dept. of Astronomy, Univ. of Maryland/College Park, CSS Bldg., Stadium Dr., College Park, MD, United States, NASA's Goddard Space Flight Center, 8800 Greenbelt Rd., Greenbelt, MD, United States; Robinson, F.D., NASA's Goddard Space Flight Center, 8800 Greenbelt Rd., Greenbelt, MD, United States, Global Science Technology, Inc., 7855 Walker Drive, Greenbelt, MD, United States; Lotkin, G.N., NASA's Goddard Space Flight Center, 8800 Greenbelt Rd., Greenbelt, MD, United States, Global Science Technology, Inc., 7855 Walker Drive, Greenbelt, MD, United States; Toy, V.L., Dept. of Astronomy, Univ. of Maryland/College Park, CSS Bldg., Stadium Dr., College Park, MD, United States; Veilleux, S., Dept. of Astronomy, Univ. of Maryland/College Park, CSS Bldg., Stadium Dr., College Park, MD, United States; Moseley, S.H., NASA's Goddard Space Flight Center, 8800 Greenbelt Rd., Greenbelt, MD, United States; Gehrels, N.A., NASA's Goddard Space Flight Center, 8800 Greenbelt Rd., Greenbelt, MD, United States; Vogel, S.N., Dept. of Astronomy, Univ. of Maryland/College Park, CSS Bldg., Stadium Dr., College Park, MD, United States","The Rapid Infrared Imager/Spectrometer (RIMAS) is designed to perform follow-up observations of transient astronomical sources at near infrared (NIR) wavelengths (0.9 - 2.4 microns). In particular, RIMAS will be used to perform photometric and spectroscopic observations of gamma-ray burst (GRB) afterglows to compliment the Swift satellite's science goals. Upon completion, RIMAS will be installed on Lowell Observatory's 4.3 meter Discovery Channel Telescope (DCT) located in Happy Jack, Arizona. The instrument's optical design includes a collimator lens assembly, a dichroic to divide the wavelength coverage into two optical arms (0.9 - 1.4 microns and 1.4 - 2.4 microns respectively), and a camera lens assembly for each optical arm. Because the wavelength coverage extends out to 2.4 microns, all optical elements are cooled to ∼70 K. Filters and transmission gratings are located on wheels prior to each camera allowing the instrument to be quickly configured for photometry or spectroscopy. An athermal optomechanical design is being implemented to prevent lenses from loosing their room temperature alignment as the system is cooled. The thermal expansion of materials used in this design have been measured in the lab. Additionally, RIMAS has a guide camera consisting of four lenses to aid observers in passing light from target sources through spectroscopic slits. Efforts to align these optics are ongoing. © 2014 SPIE.","cryogenic systems; ground-based instrumentation; infrared spectroscopy; near infrared; optical alignment; optical design; optomechanics","Alignment; Astronomy; Cameras; Cryogenics; Design; Gamma rays; Infrared devices; Infrared spectroscopy; Optical collimators; Optical design; Optical systems; Photometry; Thermal expansion; Cryogenic system; Ground-based instrumentation; Near Infrared; Optical alignments; Opto-mechanics; Lenses"
"Kaposta I., Duma V.-F.","Driving solutions and optomechanical design of scanners with Risley prisms",2014,"Progress in Biomedical Optics and Imaging - Proceedings of SPIE",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894166397&doi=10.1117%2f12.2044053&partnerID=40&md5=f1f753595df2d2b72576053a78d52dc0","3OM Optomechatronics Group, Faculty of Engineering, Aurel Vlaicu University of Arad, 77 Revolutiei Ave., 310130 Arad, Romania","Kaposta, I., 3OM Optomechatronics Group, Faculty of Engineering, Aurel Vlaicu University of Arad, 77 Revolutiei Ave., 310130 Arad, Romania; Duma, V.-F., 3OM Optomechatronics Group, Faculty of Engineering, Aurel Vlaicu University of Arad, 77 Revolutiei Ave., 310130 Arad, Romania","The issue of obtaining precise scan patterns using optical wedges (usually named Risley prisms) devices is related to the driving solutions of the prisms. In this paper we make first an overview of the existing and possible devices with Risley prisms - especially from the point of view of their components and of the relative movement between their components. Further on, we discuss several driving solutions for the accurate driving of Risley prisms with different dimensions and masses - thus for different applications, from satellite positioning to biomedical imaging. The different levels of accuracy required are taken into account. Another aspect that may suggest different driving solutions is the coupled and uncoupled movement of the two prisms. We thus make a preliminary study regarding specific solutions for prisms that have to move with a given relative speed, with a set of given relative speeds or with the possibility to adjust it within certain limits. Some of the parameters and of the envisaged errors of three types of driving solutions are pointed out. © 2014 Copyright SPIE.","driving solutions; laser scanning; optical devices; optical wedges; optomechanics; Risley prisms; scan patterns; scanners","Biotechnology; Medical imaging; Optical devices; Scanning; Laser scanning; Optical wedges; Opto-mechanics; Risley prism; Scan patterns; scanners; Prisms"
"Didier N., Pugnetti S., Blanter Y.M., Fazio R.","Quantum transducer in circuit optomechanics",2014,"Solid State Communications",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908297686&doi=10.1016%2fj.ssc.2014.02.029&partnerID=40&md5=13d111b12e40ed9485c871cc2946e6c1","Scuola Normale Superiore, NEST, Istituto Nanoscienze - CNR, Pisa, Italy; Kavli Institute of Nanoscience, Delft University of Technology, Lorentzweg 1, CJ Delft, Netherlands","Didier, N., Scuola Normale Superiore, NEST, Istituto Nanoscienze - CNR, Pisa, Italy; Pugnetti, S., Scuola Normale Superiore, NEST, Istituto Nanoscienze - CNR, Pisa, Italy; Blanter, Y.M., Kavli Institute of Nanoscience, Delft University of Technology, Lorentzweg 1, CJ Delft, Netherlands; Fazio, R., Scuola Normale Superiore, NEST, Istituto Nanoscienze - CNR, Pisa, Italy","Mechanical resonators are macroscopic quantum objects with great potential. They couple to many different quantum systems such as spins, optical photons, and Bose Einstein condensates. It is difficult to measure and manipulate a phonon state due to the tiny motion in the quantum regime. On the other hand, microwave resonators are powerful quantum devices since arbitrary photon states can be synthesized and measured with the quantum tomography. We show that linear coupling, strong and controlled with gate voltage, between mechanical and microwave resonators enables creation of quantum phonon states, manipulation of hybrid entanglement between phonons and photons, and generation of entanglement between two mechanical oscillators. In circuit quantum optomechanics, the mechanical resonator acts as a quantum transducer between an auxiliary quantum system and the microwave resonator, which is used as a quantum bus. As an example, we demonstrate how two mechanical resonators coupled to one microwave resonator and two spins can facilitate entanglement generation between the spins. © 2014 Elsevier Ltd.","C. Mechanical resonators; C. Microwave cavity; C. Spin; D. Entanglement","C. Spin; D. Entanglement; Mechanical resonators; Microwave cavity; Opto-mechanics"
"Sillanpǎǎ M.A., Hakonen P.J.","Optomechanics: Hardware for a quantum network",2014,"Nature",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895894755&doi=10.1038%2f507045a&partnerID=40&md5=4fef7474d106aedc4427610e4bb2a378","Department of Applied Physics, Aalto University, FI-00076 Aalto, Finland; O. V. Lounasmaa Laboratory, Aalto University, Finland","Sillanpǎǎ, M.A., Department of Applied Physics, Aalto University, FI-00076 Aalto, Finland; Hakonen, P.J., O. V. Lounasmaa Laboratory, Aalto University, Finland",[No abstract available],,"glass fiber; quantum dot; mechanical property; numerical model; optical property; quantum mechanics; electrical synapse; electromagnetic field; microwave radiation; priority journal; quantum mechanics; radiofrequency identification; short survey; signal transduction; superconductor"
"Duma V.-F., Hutiu G., Cira O., Demian D., Mnerie C., Kaposta I.","Building an optomechatronics group in a young university in western Romania",2014,"Proceedings of SPIE - The International Society for Optical Engineering",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923902716&doi=10.1117%2f12.2070774&partnerID=40&md5=968315a7e45219f1bcb3d6ef186c0866","3OM Optomechatronics Group, Aurel Vlaicu University of Arad, 77 Revolutiei Ave, Arad, Romania","Duma, V.-F., 3OM Optomechatronics Group, Aurel Vlaicu University of Arad, 77 Revolutiei Ave, Arad, Romania; Hutiu, G., 3OM Optomechatronics Group, Aurel Vlaicu University of Arad, 77 Revolutiei Ave, Arad, Romania; Cira, O., 3OM Optomechatronics Group, Aurel Vlaicu University of Arad, 77 Revolutiei Ave, Arad, Romania; Demian, D., 3OM Optomechatronics Group, Aurel Vlaicu University of Arad, 77 Revolutiei Ave, Arad, Romania; Mnerie, C., 3OM Optomechatronics Group, Aurel Vlaicu University of Arad, 77 Revolutiei Ave, Arad, Romania; Kaposta, I., 3OM Optomechatronics Group, Aurel Vlaicu University of Arad, 77 Revolutiei Ave, Arad, Romania","We present our experience regarding the establishing of an interdisciplinary group with Optics as one of its main topic at the Aurel Vlaicu University of Arad (UAVA) - linked with the improvement through research of our educational activities. The 3OM Group (in Opto-Mechatronics, Optical Metrology, and Optics & Mechanics) is described in its evolution from optomechanics to photonics, the latter with a focus on OCT (Optical Coherence Tomography) - with the national and the international collaborations established, with universities from Romania, Europe and USA. While the research directions of the 3OM Group are presented, they are linked with the educational components implemented in the various subjects we teach, for both undergraduate and graduate students, both in Mechanical and in Electrical Engineering. The main effort is to integrate education and research, to move teaching beyond the classical aspects to put the stress on hands-on-experiments, as well as on research-based activities - even with undergraduates. The main goals of this approach are to obtain an early orientation towards innovation and discovery, with a taste for novelties and with a clear focus on international standards. While this account is only one of many, it offers our experience in passing through the difficulties of developing both research and education in Optics in a young university in an emergent economy in Eastern Europe. © 2014 SPIE, OSA, IEEE, ICO.","Collaborative research; Education and training; Optical coherence tomography; Optical devices; Optical metrology; Optical systems; Optomechanics; Optomechatronics","Optical devices; Optical systems; Optical tomography; Photonics; Students; Tomography; Units of measurement; Collaborative research; Education and training; Optical Metrology; Opto-mechanics; Optomechatronics; Education"
"Cira O., Duma V.-F.","Design programs for optical chopper wheels with different configurations",2014,"Progress in Biomedical Optics and Imaging - Proceedings of SPIE",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894115895&doi=10.1117%2f12.2043119&partnerID=40&md5=3164bfa8adec1d13540915b80145006a","Dept. of Mathematics and Computer Sciences, Faculty of Exact Sciences, Aurel Vlaicu University of Arad, 77 Revolutiei Ave., 310130 Arad, Romania; 3OM Optomechatronics Group, Faculty of Engineering, Aurel Vlaicu University of Arad, 77 Revolutiei Ave., 310130 Arad, Romania","Cira, O., Dept. of Mathematics and Computer Sciences, Faculty of Exact Sciences, Aurel Vlaicu University of Arad, 77 Revolutiei Ave., 310130 Arad, Romania, 3OM Optomechatronics Group, Faculty of Engineering, Aurel Vlaicu University of Arad, 77 Revolutiei Ave., 310130 Arad, Romania; Duma, V.-F., 3OM Optomechatronics Group, Faculty of Engineering, Aurel Vlaicu University of Arad, 77 Revolutiei Ave., 310130 Arad, Romania","Optical choppers are a most used device in laser setups (including in biomedical applications) for generating laser impulses, accurate attenuation, obscuration or elimination of different wavelengths. We present the design programs we are developing for macroscopic optical choppers with rotational wings. We have proposed previously the analysis of different types of chopper wheels with windows: (i) with linear margins (the ""classical"" device) and (ii) with semicircular margins, inward or outward (the ""eclipse"" choppers). The latter has been, to the best of our knowledge, of our proposal (patent pending). This rigorous mathematical analysis took into account all the possible relationships between the constructive and kinematics parameters of the device. This theory allowed for developing a design program for each type of choppers - to obtain a specific type of output laser impulse. Examples of applying this program are presented, for each type of laser beams that has been considered so far: top-hat (with constant intensity distribution over the entire beam section), Gaussian and Bessel. A discussion on the laser impulses obtained with each type of device and laser beam concludes the paper. © 2014 Copyright SPIE.","choppers; design programs; Gaussian beams; laser; modeling; modulation; optical devices; optomechanics; optomechatronics; simulations; top-hat beams; transmission functions","Biotechnology; Choppers (circuits); Design; Gaussian beams; Laser beams; Lasers; Medical applications; Models; Modulation; Optical devices; Wheels; Design programs; Opto-mechanics; Optomechatronics; simulations; top-hat beams; Transmission function; Laser theory"
"Frank C., Hammersley P., Buzzoni B., Manescau A., Arsenault R., Madec P.-Y., Birkmann M., Mueller M., Salgado F., Guisard S., Kroedel M.","Design, fabrication, integration and commissioning of an upgraded guiding probe for the VLT unit telescope 4",2014,"Proceedings of SPIE - The International Society for Optical Engineering",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922756639&doi=10.1117%2f12.2055868&partnerID=40&md5=4f5acbf7242a8c7a8a2333b149f7b5f8","European Southern Observatory, Karl Schwarzschild Str. 2, Garching, Germany; European Southern Observatory, Paranal, Chile; ECM - Engineered Ceramic Materials GmbH, Am Bleichbach 12, Moosinning, Germany","Frank, C., European Southern Observatory, Karl Schwarzschild Str. 2, Garching, Germany; Hammersley, P., European Southern Observatory, Karl Schwarzschild Str. 2, Garching, Germany; Buzzoni, B., European Southern Observatory, Karl Schwarzschild Str. 2, Garching, Germany; Manescau, A., European Southern Observatory, Karl Schwarzschild Str. 2, Garching, Germany; Arsenault, R., European Southern Observatory, Karl Schwarzschild Str. 2, Garching, Germany; Madec, P.-Y., European Southern Observatory, Karl Schwarzschild Str. 2, Garching, Germany; Birkmann, M., European Southern Observatory, Karl Schwarzschild Str. 2, Garching, Germany; Mueller, M., European Southern Observatory, Karl Schwarzschild Str. 2, Garching, Germany; Salgado, F., European Southern Observatory, Paranal, Chile; Guisard, S., European Southern Observatory, Paranal, Chile; Kroedel, M., ECM - Engineered Ceramic Materials GmbH, Am Bleichbach 12, Moosinning, Germany","As part of the preparation for the arrival of the MUSE instrument to the VLT, it was required to adapt the hosting telescope (UT4) guide probe, to increase its back focal length. This is to allow enough space for the later deployment of the MUSE Adaptive Optics module GALACSI, in-between the telescope adapter rotator and the instrument itself. The UT guide probe is a critical component for the successful operation of the telescope, so its modification to increase the telescope's back focal length, while maintaining full compatibility with the existing operation model and other hardware, was rather demanding. The design, manufacture, assembly and test for the new supporting arm in the UT guiding probe is presented. It mixes the use of novel materials (HB-CESIC® for the mirrors substrates) and state of the art manufacturing techniques (3D printing mould production and rapid casting for the support structure), which allow producing easily a high performance subsystem. Characterization of the system prior delivery to the telescope, its integration in the UT and results after commissioning is presented. Its successful implementation has validated new manufacturing techniques that may prove very useful for future instruments development. © 2014 SPIE.","HB-CESIC; Optomechanics; Telescope system","3D printers; Adaptive optics; Casting; Manufacture; Probes; Substrates; Back focal length; Critical component; HB-Cesic; Manufacturing techniques; Opto-mechanics; State of the art; Support structures; Telescope system; Telescopes"
"Duma V.-F.","Risley prisms scanners with different configurations: A multi-parametric analysis",2014,"Progress in Biomedical Optics and Imaging - Proceedings of SPIE",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894205004&doi=10.1117%2f12.2044581&partnerID=40&md5=43c2a173d392fea45d21c642f9e3a6b6","3OM Optomechatronics Group, Faculty of Engineering, Aurel Vlaicu University of Arad, 77 Revolutiei Ave., 310130 Arad, Romania","Duma, V.-F., 3OM Optomechatronics Group, Faculty of Engineering, Aurel Vlaicu University of Arad, 77 Revolutiei Ave., 310130 Arad, Romania","Scanners with rotational Risley prisms are one of the main options for achieving bi-dimensional (2D) scanning, including for biomedical applications such as Confocal Microscopy (CM) or Optical Coherence Tomography (OCT). Different configurations of such devices exist, including with rotational, tilting or rotational plus tilting prisms. The analysis of the most used Risley prisms scanners, with rotational elements has been approached in different ways, to determine exactly or approximately their scan patterns. While we have previously developed such an exact analysis using mechanical design programs, in this paper a first multi-parametric analysis is carried out, for two of the possible configurations of scanners with two rotational prisms. A comparison is done between the exact and the approximate equations of the maximum deviations, and also between the two configurations considered. The minimum linear deviation produced by one of the scanner configuration is also deduced. © 2014 Copyright SPIE.","biomedical imaging; laser scanning; mathematical analysis; optical devices; optical wedges; optomechanics; optomechatronics; pointing devices; raster scanning; Risley prisms; scan patterns; scanners","Biotechnology; Medical applications; Medical imaging; Optical devices; Optical tomography; Scanning; Biomedical imaging; Laser scanning; Mathematical analysis; Optical wedges; Opto-mechanics; Optomechatronics; Pointing devices; Raster scanning; Risley prism; Scan patterns; scanners; Prisms"
"Tielen V., Bellouard Y.","Three-dimensional glass monolithic micro-flexure fabricated by femtosecond laser exposure and chemical etching",2014,"Micromachines",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987790083&doi=10.3390%2fmi5030697&partnerID=40&md5=d6d5049dacf555dcf18c137ae8455ea3","Mechanical Engineering Department, Eindhoven University of Technology, Eindhoven, Netherlands","Tielen, V., Mechanical Engineering Department, Eindhoven University of Technology, Eindhoven, Netherlands; Bellouard, Y., Mechanical Engineering Department, Eindhoven University of Technology, Eindhoven, Netherlands","Flexures are components of micro-mechanisms efficiently replacing classical multi-part joints found at the macroscale. So far, flexures have been limited to two-dimensional planar designs due to the lack of a suitable three-dimensional micromanufacturing process. Here we demonstrate and characterize a high-strength transparent monolithic three-dimensional flexural component fabricated out of fused silica using non-ablative femtosecond laser processing combined with chemical etching. As an illustration of the potential use of this flexure, we propose a design of a Hoecken linkage entirely made with three-dimensional cross-spring pivot hinges.","Cross-spring pivot; Femtosecond laser; Flexure; Hoecken (Hoekens) linkage; Optomechanics; Three-dimensional micromachining","Etching; Ultrashort pulses; Cross-spring pivots; Flexure; Hoecken (Hoekens) linkage; Opto-mechanics; Three-dimensional micromachining; Fused silica"
"Aggarwal N., Debnath K., Mahajan S., Bhattacherjee A.B., Mohan M.","Selective entanglement in a two-mode optomechanical system",2014,"International Journal of Quantum Information",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904303252&doi=10.1142%2fS0219749914500245&partnerID=40&md5=b21f807eb9fae9c7c7d6a48f3ad60057","Department of Physics and Astrophysics, University of Delhi, Delhi-110007, India; Department of Physics, ARSD College, University of Delhi (South Campus), New Delhi-110021, India; School of Physical Sciences, Jawaharlal Nehru University, New Delhi-110067, India","Aggarwal, N., Department of Physics and Astrophysics, University of Delhi, Delhi-110007, India, Department of Physics, ARSD College, University of Delhi (South Campus), New Delhi-110021, India; Debnath, K., Department of Physics and Astrophysics, University of Delhi, Delhi-110007, India; Mahajan, S., Department of Physics and Astrophysics, University of Delhi, Delhi-110007, India; Bhattacherjee, A.B., Department of Physics, ARSD College, University of Delhi (South Campus), New Delhi-110021, India, School of Physical Sciences, Jawaharlal Nehru University, New Delhi-110067, India; Mohan, M., Department of Physics and Astrophysics, University of Delhi, Delhi-110007, India","We analyze an optomechanical system formed by a mechanical mode and the two optical modes of an optomechanical cavity for the realization of a strongly quantum correlated three-mode system. We show that the steady state of the system shows three possible bipartite continuous variable (CV) entanglements in an experimentally accessible parameter regime, which are robust against temperature. We further show that selective entanglement between the mechanical mode and any of the two optical modes is also possible by the proper choice of the system parameters. Such a two-mode optomechanical system can be used for the realization of CV quantum information interfaces and networks. © 2014 World Scientific Publishing Company.","entanglement quantification; logarithmic negativity; optomechanics; Steady-state entanglement",
